round,position,whos_turn,hole1,hole2,flop1,flop2,flop3,turn,river,pot_bb,to_call_bb,hero_stack_bb,opp_stack_bb,effective_stack_bb,spr,raise_to_bb,bet_frac_of_pot,bet_frac_of_pot_clipped,is_allin,action,p_fold,p_check_call,p_raise_s,p_raise_m,p_raise_l,model_class
river,SB,villain,2d,Ac,2h,Qs,9c,8d,6c,190.5,9.0,9.0,0.5,0.5,0.0026246719160104987,9.0,0.047244094488188976,0.047244094488188976,0.0,raise,,,,,,
river,BB,hero,Jd,Kc,2h,Qs,9c,8d,6c,199.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,check,2.327982703963289e-21,1.0,9.335409756151343e-29,0.0,0.0,check_call
river,SB,villain,2d,Ac,2h,Qs,9c,8d,6c,199.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,check,,,,,,
river,BB,hero,Jd,Kc,2h,Qs,9c,8d,6c,199.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,check,2.0030943456662495e-14,1.0,2.2391722131389794e-23,1.8041045104919144e-39,1.2282582826785884e-37,check_call
preflop,BB,villain,3s,Tc,,,,,,1.5,0.0,99.5,99.0,99.0,66.0,0.0,0.0,0.0,0.0,check,,,,,,
preflop,SB,hero,8d,2d,,,,,,2.0,0.5,99.0,99.0,99.0,49.5,0.0,0.0,0.0,0.0,call,0.0,0.9987812638282776,0.001218724879436195,1.884268656760793e-35,0.0,check_call
flop,SB,hero,8d,2d,Ks,Qd,8h,,,2.0,0.0,99.0,99.0,99.0,49.5,0.0,0.0,0.0,0.0,check,0.0,1.0,4.125347530248291e-08,2.1810462984478913e-29,0.0,check_call
flop,BB,villain,3s,Tc,Ks,Qd,8h,,,2.0,0.0,99.0,99.0,99.0,49.5,0.0,0.0,0.0,0.0,check,,,,,,
turn,SB,hero,8d,2d,Ks,Qd,8h,4d,,2.0,0.0,99.0,99.0,99.0,49.5,0.0,0.0,0.0,0.0,check,0.0,0.9999998807907104,1.2803792515114765e-07,5.171733383437071e-29,0.0,check_call
river,SB,hero,8d,2d,Ks,Qd,8h,4d,As,2.0,0.0,99.0,99.0,99.0,49.5,0.0,0.0,0.0,0.0,check,0.0,1.0,4.0943366030887773e-08,1.1409260148064133e-29,0.0,check_call
preflop,BB,hero,5h,8h,,,,,,1.5,0.0,99.0,99.5,99.0,66.0,0.0,0.0,0.0,0.0,check,0.0,0.9274231195449829,0.0725768506526947,1.533698923991723e-32,0.0,check_call
preflop,SB,villain,Qs,Qc,,,,,,2.0,0.5,99.0,99.0,99.0,49.5,0.0,0.0,0.0,0.0,call,,,,,,
